"","data","valore"
"1","2019/01/03",1.46666666666667
"2","2019/01/04",1.76666666666667
"3","2019/01/07",4.43333333333333
"4","2019/01/08",5.5
"5","2019/01/09",5.56666666666667
"6","2019/01/10",2.1
"7","2019/01/11",2.06666666666667
"8","2019/01/14",5
"9","2019/01/15",1.55
"10","2019/01/17",4.85
"11","2019/01/18",2.5
"12","2019/01/21",2.86666666666667
"13","2019/01/22",4.33333333333333
"14","2019/01/23",4.83333333333333
"15","2019/01/25",3.63333333333333
"16","2019/01/28",3.53333333333333
"17","2019/01/29",3.23333333333333
"18","2019/01/30",3.83333333333333
"19","2019/02/01",3.16666666666667
"20","2019/02/04",3.2
"21","2019/02/05",4
"22","2019/02/06",4.15
"23","2019/02/07",5.4
"24","2019/02/08",5.75
"25","2019/02/12",1.26666666666667
"26","2019/02/13",1.56666666666667
"27","2019/02/14",2.5
"28","2019/02/15",4.43333333333333
"29","2019/02/18",4.4
"30","2019/02/19",2.63333333333333
"31","2019/02/20",1.73333333333333
"32","2019/02/21",2.86666666666667
"33","2019/02/25",1.63333333333333
"34","2019/02/26",3.16666666666667
"35","2019/02/27",4.16666666666667
"36","2019/02/28",4.96666666666667
"37","2019/03/01",2.93333333333333
"38","2019/03/04",2.13333333333333
"39","2019/03/05",2.56666666666667
"40","2019/03/06",2.76666666666667
"41","2019/03/07",2.9
"42","2019/03/08",1.86666666666667
"43","2019/03/11",0.866666666666667
"44","2019/03/12",0.7
"45","2019/03/13",0.9
"46","2019/03/14",1.23333333333333
"47","2019/03/15",1.5
"48","2019/03/18",0.5
"49","2019/03/19",0.5
"50","2019/03/21",1.16666666666667
"51","2019/03/22",1.5
"52","2019/03/25",2.2
"53","2019/03/26",0.733333333333333
"54","2019/03/27",0.733333333333333
"55","2019/03/28",1.13333333333333
"56","2019/03/29",1.2
"57","2019/04/01",1.9
"58","2019/04/02",2.1
"59","2019/04/03",1.73333333333333
"60","2019/04/04",0.966666666666667
"61","2019/04/05",0.733333333333333
"62","2019/04/08",0.7
"63","2019/04/09",0.933333333333333
"64","2019/04/10",0.933333333333333
"65","2019/04/11",1.26666666666667
"66","2019/04/12",1.2
"67","2019/04/15",0.5
"68","2019/04/16",1.4
"69","2019/04/17",2.3
"70","2019/04/18",2.3
"71","2019/04/19",1.55
"72","2019/04/23",0.5
"73","2019/04/24",0.75
"74","2019/04/29",0.5
"75","2019/04/30",0.5
"76","2019/05/02",0.5
"77","2019/05/03",0.5
"78","2019/05/06",0.5
"79","2019/05/07",0.9
"80","2019/05/08",0.9
"81","2019/05/09",1.1
"82","2019/05/10",0.85
"83","2019/05/13",0.5
"84","2019/05/14",0.95
"85","2019/05/15",1.55
"86","2019/05/16",0.95
"87","2019/05/17",1.25
"88","2019/05/20",0.666666666666667
"89","2019/05/21",0.666666666666667
"90","2019/05/22",0.5
"91","2019/05/23",0.5
"92","2019/05/24",0.75
"93","2019/05/27",0.5
"94","2019/05/28",0.5
"95","2019/05/29",0.5
"96","2019/05/30",0.5
"97","2019/05/31",0.8
"98","2019/06/03",0.866666666666667
